severity,seed,H,val_n,val_pos,dr_ece_raw,dr_auc_raw,dr_ece_cal,dr_auc_cal
3,42,50,163,102,0.6336049594190774,0.2886531661845066,0.380871776095111,0.2642237222757956
3,123,10,163,61,0.3468626308614856,0.38428158148505304,0.07927054828388612,0.520411443265831
3,123,20,163,75,0.4374653917788727,0.32818181818181813,0.3348037926482953,0.31136363636363634
3,123,30,163,87,0.5148213875074328,0.3067150635208712,0.25931043539369814,0.28977616454930427
3,123,50,163,102,0.613666243176976,0.3146898103503697,0.3530116997075931,0.28833172613307617
3,456,10,163,61,0.33876249797505104,0.3807457409193185,0.07527912437498384,0.5440372870459659
3,456,20,163,75,0.4461593070507415,0.30863636363636365,0.33537511423802413,0.3087121212121212
3,456,30,163,87,0.524338197854399,0.3018753781004234,0.3043884169203915,0.2825166364186328
3,456,50,163,102,0.6274626528261446,0.29395692703310833,0.36500670886414754,0.2689649630343941
3,789,10,163,61,0.33742014656951824,0.392156862745098,0.07687720133070104,0.5343940855030537
3,789,20,163,75,0.44467918081151925,0.31696969696969696,0.3359533821292654,0.3098484848484849
3,789,30,163,87,0.5222093670691815,0.3139745916515426,0.2528887237811707,0.30157289776164553
3,789,50,163,102,0.6218664153404762,0.29926068788171006,0.34179501689736513,0.2811796849887497
3,101112,10,163,61,0.3369210946710746,0.399228543876567,0.07615253037461972,0.5593860495017678
3,101112,20,163,75,0.44206927655024764,0.3245454545454545,0.35374296829472873,0.3078030303030303
3,101112,30,163,87,0.5222852261154198,0.3101935874168179,0.32263061215611955,0.2881125226860254
3,101112,50,163,102,0.6295809915369274,0.2973320475731276,0.371953680641,0.2698489231758277
4,42,10,163,61,0.3352317792232051,0.4394085503053681,0.053193634759355055,0.5098039215686274
4,42,20,163,75,0.42337989041501756,0.37363636363636366,0.1087544309779791,0.4046969696969696
4,42,30,163,87,0.4932234464156116,0.396400483968542,0.18761576391188547,0.4264216575922564
4,42,50,163,102,0.5966074272898809,0.4079074252651881,0.2808967744666475,0.39987142397942793
4,123,10,163,61,0.3408372501379873,0.43378334940533586,0.05554390551662147,0.5147058823529411
4,123,20,163,75,0.4332541346298588,0.3563636363636364,0.10225979937918794,0.4563636363636363
