severity,seed,H,val_n,val_pos,auc_raw,brier_raw,ece_raw,mce_raw,ace_raw,auc_cal,brier_cal,ece_cal,mce_cal,ace_cal,auc_recal,ece_recal,mce_recal,ace_recal,ece_recal_platt,ece_recal_temp,T_opt
3,123,10,163,61,0.6243703990701279,0.3766304552555084,0.3823025041722319,0.590822845697403,0.3728434399647803,0.5791359938008523,0.35120585797293313,0.3319301197591972,0.3924959081606949,0.3339786119724642,0.6234017822549399,0.3112972385319723,0.5487723350524902,0.2784505829272069,0.20705751020486662,0.22657193768365866,3.1390833221325827
3,123,20,163,75,0.6342243975903614,0.41643059253692627,0.4212472537773199,0.8868513107299805,0.39243508748976247,0.551769578313253,0.31188784029288835,0.2848447972630026,0.3400805808254,0.30487954709367077,0.6975715361445783,0.12393350138956187,0.15841934525448342,0.25804417879403047,0.2564892679655633,0.04104647320582533,10.0
3,123,30,163,87,0.5838584136397331,0.4814387261867523,0.4921113266831352,0.8709224462509155,0.4339122534887929,0.5118606375092661,0.3638653401852687,0.3739941582578227,0.6524891774891775,0.34804899916506293,0.6831912527798369,0.17716195510358226,0.8208103974660238,0.2701324061268852,0.1706502761970572,0.2677545967662061,10.0
3,123,50,163,102,0.6013833992094861,0.6054394841194153,0.6230761387518473,0.8799253106117249,0.5706516352615185,0.6025691699604743,0.4484554771253347,0.5023597951006005,0.6533536341427812,0.4575418679297322,0.7363636363636363,0.010896086008573048,0.20283697545528412,0.24551417835715683,0.03815559383963239,0.377046822953578,10.0
3,456,10,163,61,0.6278375149342891,0.3494788110256195,0.355304822332042,0.590822845697403,0.34426358010505836,0.5816407805655118,0.3241219074292036,0.3028564537088612,0.3365109901859354,0.3057868566392642,0.7152528872958981,0.061902850258107094,0.4545454545454546,0.24320653341963988,0.07013184197094974,0.020802308403975667,10.0
3,456,20,163,75,0.6305649083426862,0.4238075017929077,0.42821111573147125,0.8868513107299805,0.4022188997783122,0.5590160867938646,0.3175565594954821,0.28868277876796594,0.45454545454545453,0.34338290173146974,0.6954732510288066,0.08327640081774824,0.3471090793609619,0.20119033240694173,0.12337681874125993,0.060654545892253296,10.0
3,456,30,163,87,0.5783166109253066,0.4834713041782379,0.493344989028715,0.7828915268182755,0.45313065821545667,0.5180230397621701,0.3678594829015292,0.37056706237928727,0.5384615384615387,0.3631313540053839,0.5745076179858789,0.050181798332807975,0.3780500888824463,0.18621159202995757,0.034290260603638746,0.2440553018930162,10.0
3,456,50,163,102,0.5947410678442393,0.6162456274032593,0.6321397264595746,0.8493697047233582,0.6008685453205692,0.5860096346848656,0.4563872360940628,0.5177709942711212,0.6804641790935947,0.4850541203148163,0.7606382978723405,0.13234394748194686,0.25,0.2424242370793609,0.15947748467224798,0.4033164428313063,10.0
3,789,10,163,61,0.6425627943485086,0.3630187511444092,0.3682352634286191,0.590822845697403,0.35850588709344067,0.5868328100470958,0.3365393003874197,0.31609646350202586,0.3924959081606949,0.31609646350202586,0.632554945054945,0.14749137513802013,0.8281629681587219,0.24409002491406034,0.0685038197608221,0.08671585861500149,6.310284224115702
3,789,20,163,75,0.6234567901234568,0.4220055043697357,0.4276344281855691,0.8801698088645935,0.3995442490448199,0.5818368873924429,0.31543020726997817,0.2924610670737627,0.3694647582551392,0.3156784018717675,0.6703142536475871,0.16952864384504304,0.45790624618530273,0.3278471382499552,0.12404522097029656,0.05650040927675941,10.0
