severity,seed,H,ece_pert,ece_ablat,delta_ece,frac_recovered,auc_pert,auc_ablat,val_n,val_pos
2,123,50,0.5230972557879718,0.28681058925881453,-0.2362866665291573,0.4517069510778162,0.5083574413371906,0.6845065895210543,163,102
2,456,10,0.32290179089703935,0.03816320304535067,-0.2847385878516887,0.8818117330989985,0.5180810028929604,0.6813725490196079,163,61
2,456,20,0.3042907350697763,0.0966272239827678,-0.20766351108700848,0.6824509824112442,0.5862878787878788,0.7525757575757576,163,75
2,456,30,0.39581599844353527,0.14844004625164475,-0.2473759521918905,0.6249771438361396,0.506578947368421,0.7459921355111917,163,87
2,456,50,0.5231985070069118,0.27839180586593076,-0.24480670114098108,0.46790405144972447,0.5296528447444552,0.6687560270009643,163,102
2,789,10,0.32129192224005004,0.04033148601557353,-0.28096043622447653,0.8744708994412868,0.5249116039858566,0.6715686274509804,163,61
2,789,20,0.30315480062811645,0.08719602872720875,-0.2159587719009077,0.7123712751817077,0.576439393939394,0.7696969696969698,163,75
2,789,30,0.3899537495497437,0.14056663792692314,-0.24938711162282057,0.6395299748002756,0.4918330308529945,0.7329854809437387,163,87
2,789,50,0.5203802687423587,0.28619190200284983,-0.23418836673950882,0.4500331407750896,0.5376084860173578,0.6611218257794922,163,102
2,101112,10,0.3269974582792404,0.04028048795486899,-0.28671697032437143,0.8768171221671351,0.49276759884281585,0.6715686274509804,163,61
2,101112,20,0.29884776051447326,0.09051668880275714,-0.2083310717117161,0.697114381426414,0.5622727272727273,0.7484848484848485,163,75
2,101112,30,0.38818486230068466,0.14107618506546432,-0.24710867723522034,0.6365747385682754,0.46604658197217175,0.7330611010284331,163,87
2,101112,50,0.5233913270991162,0.2908184426491556,-0.2325728844499606,0.44435754359742685,0.5259562841530054,0.658309225329476,163,102
3,42,10,0.31178734031529115,0.06050300244340998,-0.25128433787188115,0.8059478541295901,0.5666988106718097,0.6287367405978785,163,61
3,42,20,0.30396762580215914,0.04037409254962228,-0.26359353325253687,0.8671763401017574,0.5575000000000001,0.8798484848484849,163,75
3,42,30,0.382252103129054,0.12708545802259386,-0.25516664510646014,0.6675349671531097,0.5055202661826981,0.6527525710828797,163,87
3,42,50,0.503811081199287,0.2751617836247349,-0.22864929757455205,0.4538393578606259,0.5781099324975892,0.6373352619736419,163,102
3,123,10,0.3129501442443033,0.059519716719315614,-0.2534304275249877,0.8098108666380681,0.583011893281903,0.6239151398264224,163,61
3,123,20,0.3029199682524301,0.0417665452689353,-0.2611534229834948,0.8621201979193056,0.5562878787878787,0.8784848484848485,163,75
