severity,seed,H,cal_frac,ece_cal,ece_recal,n_cal,n_eval
4,42,30,0.5,0.42031829885160565,0.08820660012524303,81,82
4,42,50,0.05,0.4959581190348005,0.24551617032097234,8,155
4,42,50,0.1,0.5006861872599387,0.1852666847154397,16,147
4,42,50,0.2,0.49468991212605223,0.1162303522342944,32,131
4,42,50,0.5,0.5406892494259224,0.07469512158777658,81,82
4,123,10,0.05,0.3271021237375641,0.06145701463664735,8,155
4,123,10,0.1,0.3392369101065121,0.17608376830059172,16,147
4,123,10,0.2,0.3138584570844521,0.060151859065731075,32,131
4,123,10,0.5,0.2905960724804731,0.05599591135978701,81,82
4,123,20,0.05,0.3105366795101008,0.16396672061666556,8,155
4,123,20,0.1,0.30246407521385815,0.22830228494847715,16,147
4,123,20,0.2,0.31437469356719805,0.01587243662535691,32,131
4,123,20,0.5,0.3414479783356458,0.11807555759825356,81,82
4,123,30,0.05,0.3992469680444318,0.28583539339803876,8,155
4,123,30,0.1,0.3893976375676898,0.1972338596396908,16,147
4,123,30,0.2,0.41412875661562326,0.13539558943433913,32,131
4,123,30,0.5,0.42876039951897954,0.08028444865854772,81,82
4,123,50,0.05,0.5114246506274931,0.22643380393123919,8,155
4,123,50,0.1,0.47133890244240895,0.11354382255044929,16,147
4,123,50,0.2,0.5125418402469459,0.09390117525912194,32,131
4,123,50,0.5,0.5733771808347057,0.09937009760519355,81,82
4,456,10,0.05,0.32027925437649435,0.3151105899964609,8,155
4,456,10,0.1,0.3202153252586505,0.1389188452237317,16,147
4,456,10,0.2,0.31563579009296244,0.08396946564885494,32,131
4,456,10,0.5,0.35017337296590645,0.08414635407488523,81,82
4,456,20,0.05,0.3103771179352264,0.21541041662135435,8,155
4,456,20,0.1,0.3307023266146562,0.19567239233831157,16,147
4,456,20,0.2,0.29841630502172195,0.08948128596516969,32,131
4,456,20,0.5,0.31225326831647676,0.08144488494570662,81,82
4,456,30,0.05,0.4022677774953032,0.14813863596608565,8,155
4,456,30,0.1,0.3976478778457244,0.10155616649965042,16,147
4,456,30,0.2,0.3786619887374745,0.18294170018079345,32,131
4,456,30,0.5,0.3679489079161028,0.09150103170697278,81,82
4,456,50,0.05,0.5163611307307654,0.27177548403701474,8,155
4,456,50,0.1,0.5145850230613166,0.09576145970091526,16,147
4,456,50,0.2,0.4906182281939275,0.19712057095447572,32,131
4,456,50,0.5,0.5094747312561533,0.10379771561157415,81,82
4,789,10,0.05,0.3354118883059205,0.16147000466608594,8,155
4,789,10,0.1,0.3196451404372839,0.22442465736752465,16,147
4,789,10,0.2,0.3564888048133214,0.17523296461760546,32,131
4,789,10,0.5,0.2980174736211413,0.02258353117035658,81,82
4,789,20,0.05,0.3254613222098783,0.22038159479477237,8,155
4,789,20,0.1,0.3133711971115305,0.13197756122138832,16,147
4,789,20,0.2,0.32304503289105585,0.16148400488700576,32,131
4,789,20,0.5,0.31249455904864,0.053198036624164106,81,82
4,789,30,0.05,0.40916087271431745,0.28446757242444065,8,155
4,789,30,0.1,0.4023165581321588,0.32420657950193704,16,147
4,789,30,0.2,0.4054941167719099,0.17068824820391096,32,131
4,789,30,0.5,0.4176456095798014,0.05606458851749575,81,82
4,789,50,0.05,0.4772952564255011,0.1170632655822462,8,155
4,789,50,0.1,0.47440019762507984,0.07723422520825649,16,147
4,789,50,0.2,0.5115280862775183,0.10925265031916495,32,131
4,789,50,0.5,0.5152508427715043,0.04855709977266263,81,82
4,101112,10,0.05,0.31164790282264787,0.26993186666119484,8,155
4,101112,10,0.1,0.3368469841234482,0.13313610213143487,16,147
4,101112,10,0.2,0.32843913174917544,0.03789789303568483,32,131
4,101112,10,0.5,0.3271622709074463,0.03414635396585233,81,82
4,101112,20,0.05,0.32482312723216306,0.2887250597497182,8,155
4,101112,20,0.1,0.31033999379035687,0.17327154742008974,16,147
4,101112,20,0.2,0.2577726535055252,0.17794467838665914,32,131
4,101112,20,0.5,0.2781324356739551,0.1088962627620232,81,82
4,101112,30,0.05,0.40325202300175983,0.11743499735190024,8,155
4,101112,30,0.1,0.42244463294805373,0.24560426814532302,16,147
4,101112,30,0.2,0.4148186330527837,0.15362137510576324,32,131
4,101112,30,0.5,0.42399746066968275,0.15441808058232886,81,82
4,101112,50,0.05,0.49032387184434323,0.06440181783250262,8,155
4,101112,50,0.1,0.4747858256713049,0.03630096146038598,16,147
4,101112,50,0.2,0.5079159754731065,0.13967567912564183,32,131
4,101112,50,0.5,0.4936087634208863,0.0786264369763979,81,82
